C_x,C_y
6.73942,6.73942
4.66224,4.6362
3.89082,3.84463
3.48068,3.42397
3.21922,3.10574
2.99871,2.83219
2.80307,2.63738
2.63331,2.44551
2.49739,2.2257
2.37657,2.01251
2.2696,1.89775
2.18076,1.76699
2.04067,1.65336
1.93985,1.50831
1.8677,1.37033
1.76534,1.26701
1.68381,1.1132
1.59851,0.972388
1.57022,0.861451
1.51571,0.781132
1.45724,0.735868
1.415,0.650423
1.36247,0.563273
1.28639,0.464699
1.23911,0.336173
1.23462,0.236625
1.19139,0.146251
1.1577,0.100027
1.08084,0.0145403
1.05106,-0.0623019
1.0144,-0.101931
0.972597,-0.164977
0.882121,-0.231234
0.814057,-0.286293
0.795606,-0.304271
0.735718,-0.328525
0.692512,-0.384122
0.632348,-0.392767
0.568938,-0.427985
0.495981,-0.51109
0.477698,-0.526916
0.451401,-0.556434
0.438787,-0.544752
0.416333,-0.549861
0.441541,-0.490576
0.419438,-0.483993
0.36332,-0.44728
0.335851,-0.426047
0.310216,-0.394506
0.289577,-0.385254
0.273184,-0.376917